"day","animals","grass","avg energy","avg lifetime","avg children"
"0","10","2","130","0.0","0.0"
"1","10","4","128","0.0","0.0"
"2","10","6","126","0.0","0.0"
"3","11","8","112","0.0","0.18181818181818182"
"4","12","10","100","0.0","0.3333333333333333"
"5","12","12","97","0.0","0.3333333333333333"
"6","12","14","95","0.0","0.3333333333333333"
"7","13","16","86","0.0","0.46153846153846156"
"8","14","17","77","0.0","0.5714285714285714"
"9","14","16","75","0.0","0.5714285714285714"
"10","14","16","74","0.0","0.5714285714285714"
"11","14","17","73","0.0","0.5714285714285714"
"12","15","18","67","0.0","0.6666666666666666"
"13","15","18","64","0.0","0.6666666666666666"
"14","15","19","63","0.0","0.6666666666666666"
"15","15","20","61","0.0","0.6666666666666666"
"16","15","19","59","0.0","0.6666666666666666"
"17","16","21","55","0.0","0.75"
"18","16","21","52","0.0","0.75"
"19","16","22","51","0.0","0.75"
"20","16","22","49","0.0","0.75"
"21","16","23","48","0.0","0.75"
"22","16","25","46","0.0","0.75"
"23","16","24","44","0.0","0.75"
"24","16","25","43","0.0","0.75"
"25","16","27","42","16.0","0.875"
"26","15","26","42","14.5","0.9333333333333333"
"27","14","27","46","17.333333333333332","1.0"
"28","13","28","49","18.75","1.0769230769230769"
"29","13","28","47","18.75","1.0769230769230769"
"30","13","27","46","18.75","1.0769230769230769"
"31","13","28","46","18.75","1.0769230769230769"
"32","14","29","42","18.75","1.1428571428571428"
"33","14","30","39","18.75","1.1428571428571428"
"34","14","31","38","18.75","1.1428571428571428"
"35","14","32","36","18.75","1.1428571428571428"
"36","14","33","34","18.75","1.1428571428571428"
"37","12","32","38","21.833333333333332","1.0"
"38","12","32","38","21.833333333333332","1.0"
"39","12","32","37","21.833333333333332","1.0"
"1","13.0","21.0","62.375","7.052083333333333","0.7273178904428904"
