"day","animals","grass","avg energy","avg lifetime","avg children"
"0","10","2","130","0.0","0.0"
"1","10","4","128","0.0","0.0"
"2","10","6","126","0.0","0.0"
"3","10","8","124","0.0","0.0"
"4","10","10","122","0.0","0.0"
"5","10","12","120","0.0","0.0"
"6","10","14","118","0.0","0.0"
"7","10","14","116","0.0","0.0"
"8","10","15","116","0.0","0.0"
"9","10","17","115","0.0","0.0"
"10","10","18","113","0.0","0.0"
"11","10","19","111","0.0","0.0"
"12","10","20","109","0.0","0.0"
"13","10","20","107","0.0","0.0"
"14","10","20","106","0.0","0.0"
"15","11","22","96","0.0","0.18181818181818182"
"16","11","23","93","0.0","0.18181818181818182"
"17","11","24","91","0.0","0.18181818181818182"
"18","11","24","89","0.0","0.18181818181818182"
"19","11","24","88","0.0","0.18181818181818182"
"20","11","25","87","0.0","0.18181818181818182"
"21","11","26","86","0.0","0.18181818181818182"
"22","11","27","84","0.0","0.18181818181818182"
"23","11","28","82","0.0","0.18181818181818182"
"24","11","28","80","0.0","0.18181818181818182"
"25","11","28","79","0.0","0.18181818181818182"
"26","11","29","78","0.0","0.18181818181818182"
"27","11","30","76","0.0","0.18181818181818182"
"28","11","30","74","0.0","0.18181818181818182"
"29","11","31","73","0.0","0.18181818181818182"
"30","11","32","71","0.0","0.18181818181818182"
"31","11","33","70","0.0","0.18181818181818182"
"32","11","34","68","0.0","0.18181818181818182"
"33","11","34","66","0.0","0.18181818181818182"
"34","11","34","65","0.0","0.18181818181818182"
"35","11","35","64","0.0","0.18181818181818182"
"36","11","35","62","0.0","0.18181818181818182"
"37","11","35","62","0.0","0.18181818181818182"
"38","11","36","61","0.0","0.18181818181818182"
"39","11","37","59","0.0","0.18181818181818182"
"40","11","38","57","0.0","0.18181818181818182"
"41","11","39","55","0.0","0.18181818181818182"
"42","11","38","53","0.0","0.18181818181818182"
"43","11","38","53","0.0","0.18181818181818182"
"44","11","39","52","0.0","0.18181818181818182"
"45","11","39","50","0.0","0.18181818181818182"
"46","11","40","49","0.0","0.18181818181818182"
"47","11","40","47","0.0","0.18181818181818182"
"48","11","41","46","0.0","0.18181818181818182"
"1","10.0","26.0","84.22448979591837","0.0","0.12615955473098325"
